标题： 生活大爆炸 NG笑场集锦，花絮也这么好笑哈哈哈哈哈哈哈！ 	 链接：http://tieba.baidu.com//p/5233375866 	 发帖人：电视巨有料 	 发帖时间：7-20 	 回复数量： 19 
标题： 回刷时发现，第一季竟然提到了Amy的扮演者 	 链接：http://tieba.baidu.com//p/5374207032 	 发帖人：青春没有... 	 发帖时间：10-15 	 回复数量： 13 
标题： 看耳朵的表情，严重怀疑第四集最后谢耳朵给警察的是霍华德的驾照 	 链接：http://tieba.baidu.com//p/5384602607 	 发帖人：毛小线 	 发帖时间：12:42 	 回复数量： 9 
标题： 第一次见识到水母的美 	 链接：http://tieba.baidu.com//p/5377559294?fid=1441624 	 发帖人：我是楼大C 	 发帖时间：10-17 	 回复数量： 7 
标题： 个人觉得生活大爆炸里的智商排名.. 	 链接：http://tieba.baidu.com//p/3425434836 	 发帖人：CH魔君七夜 	 发帖时间：2014-11 	 回复数量： 227 
标题： 多少人青春的回忆，感动。片名：《星语心愿 》主演：任贤齐 张柏芝 	 链接：http://tieba.baidu.com//p/5383149171?fid=1441624 	 发帖人：海棠资讯 	 发帖时间：10-21 	 回复数量： 11 
标题： 哈哈，谁还不会点外语 	 链接：http://tieba.baidu.com//p/5287569926 	 发帖人：别让依靠成 	 发帖时间：8-24 	 回复数量： 8 
标题： 第四季第六集耳朵玩的文字游戏 	 链接：http://tieba.baidu.com//p/3337640548 	 发帖人：owlllllx_x 	 发帖时间：2014-10 	 回复数量： 10 
标题： 发现一处穿帮 	 链接：http://tieba.baidu.com//p/5353371708 	 发帖人：傲娇的小... 	 发帖时间：10-3 	 回复数量： 16 
标题： 发现一个爱情公寓抄袭生活大爆炸的地方 	 链接：http://tieba.baidu.com//p/3927610280 	 发帖人：Nathan_森 	 发帖时间：2015-07 	 回复数量： 242 
标题： 你们大学里都有人看生活大爆炸吗 	 链接：http://tieba.baidu.com//p/5370847419 	 发帖人：翔剑棋 	 发帖时间：10-13 	 回复数量： 24 
标题： 干什么都不容易呀 	 链接：http://tieba.baidu.com//p/5380253313?fid=1441624 	 发帖人：liuyong606113 	 发帖时间：10-19 	 回复数量： 7 
标题： 谢尔顿跟伯纳德好像没有说过他们是哪个学校毕业的 	 链接：http://tieba.baidu.com//p/5377195861 	 发帖人：夏之风winding 	 发帖时间：10-17 	 回复数量： 10 
标题： 【TBBT】生活大爆炸吧，提问（辩论）专用贴 	 链接：http://tieba.baidu.com//p/3982455353 	 发帖人：将轨 	 发帖时间：2015-08 	 回复数量： 722 
标题： 谢尔顿在第四季第六集里玩的那个文字游戏 	 链接：http://tieba.baidu.com//p/1195569719 	 发帖人：雨夜罗曼史 	 发帖时间：2014-03 	 回复数量： 125 
标题： 你会是《生活大爆炸》里的哪个角色呢？ 	 链接：http://tieba.baidu.com//p/5332106207 	 发帖人：Antimag 	 发帖时间：9-20 	 回复数量： 52 
标题： 如果没有谢耳朵，这些人生活会怎样 	 链接：http://tieba.baidu.com//p/5237202642 	 发帖人：中国式半仙 	 发帖时间：7-22 	 回复数量： 23 
标题： 《生活大爆炸》将迎来第十一季？ 	 链接：http://tieba.baidu.com//p/4725808140 	 发帖人：将轨 	 发帖时间：2016-08 	 回复数量： 238 
标题： 分享一个背四六级词汇的好方法 	 链接：http://tieba.baidu.com//p/5369699006 	 发帖人：幸运的心... 	 发帖时间：10-13 	 回复数量： 12 
标题： 我居然看到了霍华德的妈妈，不可思议啊！ 	 链接：http://tieba.baidu.com//p/5380517211 	 发帖人：淮海工学... 	 发帖时间：10-19 	 回复数量： 12 
标题： 想知道有没有SL文！！！ 	 链接：http://tieba.baidu.com//p/5381010785 	 发帖人：亚蒂是鹿... 	 发帖时间：10-20 	 回复数量： 1 
标题： 何祖亮我们谁才是“罪犯谁该给谁减刑？” 	 链接：http://tieba.baidu.com//p/5381253051?fid=1441624 	 发帖人：活宝Phoebe922 	 发帖时间：10-20 	 回复数量： 2 
